Index,Title,Type,Organization,Description,Entry_ID,Collection,Image_url
0,10th St bridge,Photograph,Museum of South Texas History,"10th Street bridge, south of McAllen",2013.001.030,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/65003c00-66b5-11eb-a877-6b8566f86a20-stujz6T.lg_sq@2x.JPG
1,18th St canal,Photograph,Museum of South Texas History,18th Street canal at Highland,2013.001.013,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/02189fd0-66a4-11eb-a877-6b8566f86a20-stujD0S.lg_sq@2x.JPG
2,18th St canal,Photograph,Museum of South Texas History,Repairing the break in the 18th Street canal,2013.001.031,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/ab571d70-66bc-11eb-a877-6b8566f86a20-stujyzW.lg_sq@2x.JPG
3,19th Street,Photograph,Museum of South Texas History,"19th Street, McAllen",2013.001.002,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/0dde2810-6697-11eb-a877-6b8566f86a20-stujGhF.lg_sq@2x.JPG
4,23rd St,Photograph,Museum of South Texas History,"South 23rd St, McAllen",2013.001.032,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/d193aa30-66a3-11eb-a877-6b8566f86a20-stujxgS.lg_sq@2x.JPG
5,6th Street,Photograph,Museum of South Texas History,Downed tree on 6th Street after Hurricane Beulah,2017.025.002,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/4f42a710-66a4-11eb-a877-6b8566f86a20-stuiPdO.lg_sq@2x.JPG
6,Air Force plane,Photograph,Museum of South Texas History,Air Force plane spraying for mosquitos,2013.001.064,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/6a74ce20-66ac-11eb-a877-6b8566f86a20-stuioSe.lg_sq@2x.JPG
7,Aircraft,Photograph,Museum of South Texas History,Damaged aircraft after Beulah,2017.025.089,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/1962e5e0-66ce-11eb-a877-6b8566f86a20-stujWPP.lg_sq@2x.JPG
8,Airport,Photograph,Museum of South Texas History,Evacuation of planes from airport,2013.001.022,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/9c2f5630-66af-11eb-a877-6b8566f86a20-stujBwy.lg_sq@2x.JPG
9,Anzalduas Dam,Photograph,Museum of South Texas History,Anzalduas Dam,2017.025.050,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/21c766a0-66b2-11eb-a877-6b8566f86a20-stuj744.lg_sq@2x.jpg
10,Anzalduas Dam,Photograph,Museum of South Texas History,Anzalduas Dam from Mexico side looking northwest,2017.025.079,Hurricane Beulah,https://s3.us-west-2.amazonaws.com/app-catalogit-media-public/accounts/4837/photo/c5eb0580-66c0-11eb-a877-6b8566f86a20-stujZ9U.lg_sq@2x.JPG
